               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.015382,           0.0052581,           0.0012658,              0.9963,                   1,               0.995,             0.89263,            0.012375,           0.0021588,          0.00058941,           0.0047035,           0.0047035,           0.0047035
                 109,            0.015738,           0.0058702,           0.0012839,             0.99655,                   1,               0.995,             0.90757,            0.011278,           0.0021921,          0.00060178,            0.004654,            0.004654,            0.004654
                 110,            0.015313,           0.0055012,           0.0017287,             0.99686,                   1,               0.995,             0.89824,            0.011848,           0.0022006,          0.00064656,           0.0046045,           0.0046045,           0.0046045
                 111,            0.016118,           0.0054612,           0.0019672,             0.99045,             0.98603,               0.995,             0.89804,             0.01094,           0.0022335,          0.00096506,            0.004555,            0.004555,            0.004555
                 112,            0.016279,           0.0054237,           0.0011994,             0.98073,             0.99967,               0.995,             0.90551,            0.011035,           0.0023185,           0.0011292,           0.0045055,           0.0045055,           0.0045055
                 113,            0.016234,            0.005448,           0.0015176,             0.99668,                   1,               0.995,             0.90284,            0.011956,           0.0023063,          0.00067974,            0.004456,            0.004456,            0.004456
                 114,            0.015868,           0.0058741,           0.0020898,             0.99697,                   1,               0.995,             0.90254,            0.013531,           0.0024883,           0.0006251,           0.0044065,           0.0044065,           0.0044065
                 115,            0.014829,           0.0057019,           0.0025992,             0.99672,                   1,               0.995,             0.90823,            0.010727,           0.0023203,          0.00055826,            0.004357,            0.004357,            0.004357
                 116,            0.015939,           0.0050993,           0.0024307,             0.99675,                   1,               0.995,             0.91158,            0.012746,           0.0022371,           0.0005672,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015417,           0.0052071,           0.0029724,             0.99462,                   1,               0.995,             0.89121,            0.010623,           0.0025094,          0.00066665,            0.004258,            0.004258,            0.004258
                 118,            0.014736,           0.0056036,            0.001351,             0.99278,                   1,               0.995,             0.90369,            0.013277,           0.0024779,           0.0008092,           0.0042085,           0.0042085,           0.0042085
                 119,            0.015172,           0.0055297,           0.0013121,             0.99596,                   1,               0.995,             0.90971,            0.013551,           0.0022473,          0.00066079,            0.004159,            0.004159,            0.004159
                 120,            0.014978,             0.00529,           0.0011155,             0.99689,                   1,               0.995,             0.90644,            0.013886,           0.0022647,          0.00059187,           0.0041095,           0.0041095,           0.0041095
                 121,            0.014873,           0.0058638,           0.0022055,             0.99658,                   1,               0.995,             0.91511,            0.012651,           0.0021888,          0.00053737,             0.00406,             0.00406,             0.00406
                 122,            0.015446,           0.0054164,           0.0013523,             0.99664,                   1,               0.995,             0.88719,            0.011395,           0.0022982,           0.0004936,           0.0040105,           0.0040105,           0.0040105
                 123,            0.015648,           0.0054199,           0.0015827,             0.99656,                   1,               0.995,             0.90261,            0.011082,           0.0023074,          0.00044197,            0.003961,            0.003961,            0.003961
                 124,            0.015301,           0.0059959,           0.0018608,             0.99668,                   1,               0.995,             0.90822,            0.012162,           0.0023564,          0.00040405,           0.0039115,           0.0039115,           0.0039115
                 125,            0.014949,           0.0054533,             0.00112,             0.99693,                   1,               0.995,             0.88196,            0.012698,           0.0025859,          0.00037791,            0.003862,            0.003862,            0.003862
                 126,            0.014082,           0.0052489,           0.0020231,             0.99702,                   1,               0.995,             0.91205,            0.010656,           0.0025238,           0.0003787,           0.0038125,           0.0038125,           0.0038125
                 127,            0.015352,           0.0050362,           0.0010911,             0.99689,                   1,               0.995,             0.90578,            0.010231,           0.0024244,          0.00037483,            0.003763,            0.003763,            0.003763
                 128,            0.015143,           0.0055204,           0.0011405,             0.99676,                   1,               0.995,             0.88528,            0.012643,           0.0025029,          0.00039289,           0.0037135,           0.0037135,           0.0037135
                 129,            0.014212,           0.0058206,           0.0015154,             0.99681,                   1,               0.995,             0.89166,             0.01062,           0.0023128,          0.00041327,            0.003664,            0.003664,            0.003664
                 130,            0.015745,           0.0056927,            0.001657,             0.99684,                   1,               0.995,             0.92309,            0.010596,           0.0021731,          0.00042531,           0.0036145,           0.0036145,           0.0036145
                 131,            0.013402,           0.0055271,          0.00076046,             0.99693,                   1,               0.995,             0.90699,            0.012088,           0.0022302,          0.00042745,            0.003565,            0.003565,            0.003565
